CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;OFER;OFER;OFER;OFER;OFER;OFER;OFER;ATEND %;ATEND %;ATEND %;ATEND %;ATEND %;TMA;TMA;TMA;TMA;TMA;TMA;TMA;SLA;SLA;SLA;SLA;SLA;SLA;SLA;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;LOGADO;PAUSAS;PAUSAS;PAUSAS;PAUSAS;PAUSAS
CODIGO;COMPANHIA;EQUIPA;LINHA DE ATENDIMENTO;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;PREV;PREV;SA;SA;MA;MA;REAL;SA;SA;MA;MA
11;TRANQUILIDADE;AGENTES;SIANET;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
38;LOGO;COMERCIAL;COM SAÚDE;75;5;0;7;0;7;0;100%;7;0%;9;-;531;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;3;6;21;7;0;7;0;0;0;0;0;0
32;LOGO;SINISTROS;CALLBACK PARC SIN;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
36;LOGO;CLIENTES;CALLBACK SONAE GES;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
13;LOGO;COMERCIAL;COM AUTO;3776;5;2028;7;0;7;0;100%;7;0%;9;-;677;5;469;7;0;7;0;214%;1;70%;7;0%;7;0%;8;6;84;7;0;7;0;5;7;5;7;0
53;LOGO;SINISTROS;SONAE SIN;14;5;0;7;0;7;0;100%;7;0%;9;-;668;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;2;6;21;7;0;7;0;0;0;0;0;0
6;TRANQUILIDADE;SINISTROS;SINISTROS RR - CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
47;LOGO;SINISTROS;SIN INDEM;98;5;0;7;0;7;0;100%;7;0%;9;-;815;9;-;7;0;7;0;1%;9;-;7;0%;7;0%;4;6;21;7;0;7;0;0;0;0;0;0
26;TRANQUILIDADE;SINISTROS;ACN SINISTROS RR;0;0;0;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;6;21;0;0;0;0;0;0;0;0;0
49;TRANQUILIDADE;SINISTROS;SINISTROS AP - CALLBACK;0;9;-;0;0;0;0;0%;0;0%;9;-;0;9;-;0;0;0;0;0%;9;-;0;0%;0;0%;0;9;-;0;0;0;0;0;0;0;0;0
27;LOGO;COMERCIAL;CALLBACK COM;280;5;152;7;0;7;0;93%;7;0%;9;-;98;2;609;7;0;7;0;0%;6;70%;0;0%;0;0%;3;6;21;7;0;7;0;0;0;0;0;0
